dex_number,name,type_01,type_02,ability_01,ability_02,hidden_ability,egg_group_01,egg_group_02,is_legendary,hp,attack,defense,sp_attack,sp_defense,speed,BST,type_combo,cluster,cluster2,class
#0001,Bulbasaur,Grass,Poison,Overgrow,None,Chlorophyll,Monster, Grass,False,45,49,49,65,65,45,318,Grass/Poison,1,1,Underpowered
#0002,Ivysaur,Grass,Poison,Overgrow,None,Chlorophyll,Monster, Grass,False,60,62,63,80,80,60,405,Grass/Poison,3,1,Underpowered
#0003,Venusaur,Grass,Poison,Overgrow,None,Chlorophyll,Monster, Grass,False,80,82,83,100,100,80,525,Grass/Poison,0,0,Tank
#0004,Charmander,Fire,None,Blaze,None,Solar Power,Monster, Dragon,False,39,52,43,60,50,65,309,Fire/None,1,1,Underpowered
#0005,Charmeleon,Fire,None,Blaze,None,Solar Power,Monster, Dragon,False,58,64,58,80,65,80,405,Fire/None,3,3,Fast Sweeper
#0006,Charizard,Fire,Flying,Blaze,None,Solar Power,Monster, Dragon,False,78,84,78,109,85,100,534,Fire/Flying,0,0,Tank
#0007,Squirtle,Water,None,Torrent,None,Rain Dish,Monster, Water 1,False,44,48,65,50,64,43,314,Water/None,1,1,Underpowered
#0008,Wartortle,Water,None,Torrent,None,Rain Dish,Monster, Water 1,False,59,63,80,65,80,58,405,Water/None,2,2,balanced
#0009,Blastoise,Water,None,Torrent,None,Rain Dish,Monster, Water 1,False,79,83,100,85,105,78,530,Water/None,2,0,Tank
#0010,Caterpie,Bug,None,Shield,None,Run Away,Bug,None,False,45,30,35,20,20,45,195,Bug/None,1,1,Underpowered
#0011,Metapod,Bug,None,Shed,None,None,Bug,None,False,50,20,55,25,25,30,205,Bug/None,1,1,Underpowered
#0012,Butterfree,Bug,Flying,Compound,None,Tinted Lens,Bug,None,False,60,45,50,80,80,70,385,Bug/Flying,3,1,Underpowered
#0013,Weedle,Bug,Poison,Shield,None,Run Away,Bug,None,False,40,35,30,20,20,50,195,Bug/Poison,1,1,Underpowered
#0014,Kakuna,Bug,Poison,Shed,None,None,Bug,None,False,45,25,50,25,25,35,205,Bug/Poison,1,1,Underpowered
#0015,Beedrill,Bug,Poison,Swarm,None,Sniper,Bug,None,False,65,80,40,45,80,75,385,Bug/Poison,3,1,Underpowered
#0016,Pidgey,Normal,Flying,Keen, Tangled,Big Pecks,Flying,None,False,40,45,40,35,35,56,251,Normal/Flying,1,1,Underpowered
#0017,Pidgeotto,Normal,Flying,Keen, Tangled,Big Pecks,Flying,None,False,63,60,55,50,50,71,349,Normal/Flying,1,1,Underpowered
#0018,Pidgeot,Normal,Flying,Keen, Tangled,Big Pecks,Flying,None,False,83,80,75,70,70,91,469,Normal/Flying,3,3,Fast Sweeper
#0019,Rattata,Normal,None,Run, Guts,Hustle,Field,None,False,30,56,35,25,35,72,253,Normal/None,1,1,Underpowered
#0020,Raticate,Normal,None,Run, Guts,Hustle,Field,None,False,55,81,60,50,70,97,413,Normal/None,3,3,Fast Sweeper
#0021,Spearow,Normal,Flying,Keen,None,Sniper,Flying,None,False,40,60,30,31,31,70,262,Normal/Flying,1,1,Underpowered
#0022,Fearow,Normal,Flying,Keen,None,Sniper,Flying,None,False,65,90,65,61,61,100,442,Normal/Flying,3,3,Fast Sweeper
#0023,Ekans,Poison,None,Intimidate, Shed,Unnerve,Field, Dragon,False,35,60,44,40,54,55,288,Poison/None,1,1,Underpowered
